,,Name,Credentials,Company (Need to Add),Street 1,Street 2,City,State,Zip Code,Office,Fax,EMail
Accident Fund,1,Accident Fund,,,P.O. Box 40790,,Lansing,MI,48901,,(866)415-4173,
Aetna,2,Aetna,,,P.O. Box 981106,,El Paso,TX,79998-1106,,,
Aig Claim Services,3,Aig Claim Services,,,P.O. Box 25908,,Shawnee Mission,KS,66225,,(844)749-2430,
Alperstein & Diener,4,Alperstein & Diener,,,201 N. Charles Street,,Baltimore,MD,21201,,(410)539-2541,
Amerisure,5,Amerisure,,,P.O. Box 1515,,Cannonsburg,PA,15317,,,
Amtrust North America,6,Amtrust North America,,,P.O. Box 94405,,Cleveland,OH,44101,,(678)258-8399,
Anne Arundel County Risk Mgmt,7,Anne Arundel County Risk Mgmt,,,P.O. Box 6675,,Annapolis,MD,21401,,(410)222-7640,
"Asr Group, Inc",8,"Asr Group, Inc",,,"1100 Key Hwy, East",,Baltimore,MD,21230,,(410)625-8136,
Baltimore County Workers' Comp,9,Baltimore County Workers' Comp,,,400 Washington Avenue,Room 219,Towson,MD,21204,,(410)832-1516,
Bardavon Health Innovations,10,Bardavon Health Innovations,,,6803 W. 64Th Street,"Building 6, #200",Overland Park,KS,66202,,(913)236-3559,
"Belfast Dc, Llc",11,"Belfast Dc, Llc",,,Email: Ap@Belfastdc.Com,,,,,,,ap@belfastdc.com
Berkley Industrial Comp,12,Berkley Industrial Comp,,,P.O. Box 14817,,Lexington,KY,40512,,(205)874-8292,
Berkley Mid-Atlantic Group,13,Berkley Mid-Atlantic Group,,,P.O. Box 1290,,Cannonsburg,PA,15317,,(877)684-5484,
Berkshire Hathaway Homestate Co,14,Berkshire Hathaway Homestate Co,,,P.O. Box 881716,,San Francisco,CA,94188,,(415)675-5469,
Biia/Vaco,15,Biia/Vaco,,,1819 Electric Road,Suite C,Roanoke,VA,24018,,(540)345-5330,
,16,Blue Cross Blue Shield - PO Box 14115,,,PO Box 14115,,Lexington,KY,40512,,,
,17,Blue Cross Blue Shield - PO Box 14116,,,PO Box 14116,,Lexington,KY,40512,,,
Blue Cross Blue Shield - PO Box 27401,18,Blue Cross Blue Shield - PO Box 27401,,,P.O. Box 27401,,Richmond,VA,23279,,,
Bond Distributing,19,Bond Distributing,,,1220 Bernard Drive,,Baltimore,MD,21223,,,
Broadspire,20,Broadspire,,,P.O. Box 14341,,Lexington,KY,40512,,(770)777-6409,
BTE Workforce Solutions,21,BTE Workforce Solutions,,,9000 E Nichols Ave,Suite 104,Centennial,CO,80112,,,
Builders Mutual,22,Builders Mutual,,,P.O. Box 150006,,Raleigh,NC,27624,,,
Care IQ,23,Care IQ,,,"550 Congressional Blvd, #300",,Carmel,IN,46032,,,
Carefirst Network Leasing,24,Carefirst Network Leasing,,,P.O. Box 981633,,El Paso,TX,79998-1633,,,
CCMSI,25,CCMSI,,,P.O. Box 317,,Linwood,NJ,8221,,,
CEIWC/IWIF,26,CEIWC/IWIF,,,P.O. Box 9899,,Baltimore,MD,21286,,,
Chubb Insurance,27,Chubb Insurance,,,P.O. Box 4700,,Chesapeake Beach,VA,22327,,,
Cigna,28,Cigna,,,P.O. Box 182223,,Chattanooga,TN,37422,,,
Cincinnati Insurance,29,Cincinnati Insurance,,,P.O. Box 1337,,Cannonsburg,PA,15317,,(888)720-4803,
CNA Insurance,30,CNA Insurance,,,P.O. Box 8317,,Chicago,IL,60680,,(877)371-5122,
Commonwealth of Virginia,31,Commonwealth of Virginia,,,P.O. Box 1140,,Richmond,VA,23218,,,
CorVel Corporation,32,CorVel Corporation,,,P.O. Box 6966,,Portland,OR,97228,,,
CPR Management Services,33,CPR Management Services,,,"4005 20Th Avenue, W",Suite 228,Seattle,WA,98199,,(206)838-8492,
DARS,34,DARS,,,5904 Old Richmond Hwy,Suite 410,Alexandria,VA,22303,,(703)960-8950,
DC Office of Risk Management,35,DC Office of Risk Management,,,"441 4Th Street, Nw",Suite 800 S,Washington,DC,20001,,,
Department of Labor,36,Department of Labor,,,P.O. Box 8300,,London,KY,40742,,,
Direct Pay Provider Network,37,Direct Pay Provider Network,,,P.O. Box 3018,,Milwaukee,WI,53201,,(844)964-7194,
Donegal Insurance Group,38,Donegal Insurance Group,,,P.O. Box 1279,,Glen Allen,VA,23060,,(877)684-4273,
DORS - N. Market Street,39,DORS - N. Market Street,,,1890 N. Market Street,,Frederick,MD,21701,,(240)629-7587,
DORS - Silver Hill Road,40,DORS - Silver Hill Road,,,5001 Silver Hill Road,Suite 306,Suitland,MD,20746,,(301)967-7263,
DORS - Argonne Drive,41,DORS - Argonne Drive,,,2301 Argonne Drive,,Baltimore,MD,21218,,(410)554-3323,
DORS - Veirs Mill Road,42,DORS - Veirs Mill Road,,,11002 Veirs Mills Road,Suite 408,Silver Spring,MD,20902,,(301)949-5876,
DORS - Century Blvd,43,DORS - Century Blvd,,,20010 Century Blvd,Suite 400,Gaithersburg,MD,20874,,(301)540-7026,
DORS - Leonard Hall Drive,44,DORS - Leonard Hall Drive,,,23110 Leonard Hall Drive,,Leonardtown,MD,20650,,(301)601-1519,
Eastern Alliance,45,Eastern Alliance,,,P.O. Box 83777,,Lancaster,PA,17608,,,
Encova Insurance,46,Encova Insurance,,,P.O. Box 3151,,Charleston,WV,25332,,(877)898-6980,
Ergoscience,47,Ergoscience,,,201 Office Park Drive,Suite 150,Birmingham,AL,35223,,(205)879-6397,
Erie Insurance,48,Erie Insurance,,,P.O. Box 4409,,Silver Spring,MD,20914,,(814)461-1926,
Esis,49,Esis,,,P.O. Box 6560,,Scranton,PA,18505,,,
Evonational,50,Evonational,,,2510 Urbana Pike,Suite 101,Ijamsville,MD,21754,,(301)644-2151,
Exam Partners,51,Exam Partners,,,2945 Emmorton Road,Unit 267,Abingdon,MD,21009,,(410)357-8159,
Examworks,52,Examworks,,,1700 Reisterstown Road,Suite 238,Pikesville,MD,21208,,(410)602-7963,
Federated Mutual,53,Federated Mutual,,,P.O. Box 486,,Owatonna,MN,55060,,(410)870-8001,
Feinberg Jackson Worthman & Wasow,54,Feinberg Jackson Worthman & Wasow,,,2030 Addison Street,Suite 500,Berkeley,CA,94704,,(510)269-7994,
Gallagher Bassett,55,Gallagher Bassett,,,P.O. Box 2831,,Clinton,IA,52733,,,
GENEX,56,GENEX,,,P.O. Box 1165,,Elk Grove Village,IL,60009,,(800)683-7934,
Great American Insurance & Strategic,57,Great American Insurance & Strategic,,,P.O. Box 5789,,Cincinnati,OH,45201,,(855)277-6359,
"Greenspring Village, Inc",58,"Greenspring Village, Inc",,,7470 Spring Village Drive,,Springfield,VA,22150,,(703)923-3081,
Grenier Law Group,59,Grenier Law Group,,,"1980 L Street, Nw",Suite 750,Washington,DC,20036,,(202)768-9604,
Guard Insurance,60,Guard Insurance,,,P.O. Box 1368,,Wilkes-Barre,PA,18703,,(570)825-0611,
Harford Mutual,61,Harford Mutual,,,200 North Main Street,,Bel Air,MD,21014,,,
Homelink Therapy Network,62,Homelink Therapy Network,,,P.O. Box 1860,,Waterloo,IA,50704,,,
"I.S. Law Firm, Pllc",63,"I.S. Law Firm, Pllc",,,3930 Walnut Street,Suite 200,Fairfax,VA,22030,,(703)778-0369,
Innovative Claim Strategies,64,Innovative Claim Strategies,,,30 Knightsbridge Road,Suite 525-229,Piscataway,NJ,8854,,(866)906-1076,
Intact Insurance Specialty Solutions,65,Intact Insurance Specialty Solutions,,,P.O. Box 6814,,Scranton,PA,18505,,,
Ion Pt Network,66,Ion Pt Network,,,1207 N Franklin Street,Suite 330,Tampa,FL,33602,,(888)629-2013,
Johns Hopkins Workers Comp,67,Johns Hopkins Workers Comp,,,2024 E. Monument Street,1-300,Baltimore,MD,21205,,,
Key Risk,68,Key Risk,,,P.O. Box 14817,,Lexington,KY,40512,,(866)408-2421,
"Keyscripts, Llc",69,"Keyscripts, Llc",,,1970 Technology Pkwy,,Mechanicsburg,PA,17050,,,
"Landin, Inc",70,"Landin, Inc",,,P.O. Box 17590,,Richmond,VA,23226,,(804)359-9640,
"Legends, Ltd",71,"Legends, Ltd",,,Attn: Jim Janowski,8901-A Yellow Brick Road,Baltimore,MD,21237,,,
Liberty Mutual,72,Liberty Mutual,,,P.O. Box 7203,,London,KY,40742,,,
MABE,73,MABE,,,621 Ridgley Avenue,Suite 301,Annapolis,MD,21401,,,
Maine Employers Mutual,74,Maine Employers Mutual,,,P.O. Box 3606,,Portland,ME,4104,,(207)719-3334,
Managed Care Innovations,75,Managed Care Innovations,,,Attn: Judy Hayes - Director,316 West Broad Street,Richmond,VA,23220,,(804)344-4443,
Marriott Claims Services,76,Marriott Claims Services,,,P.O. Box 29202,,Hot Springs,AR,71903,,(301)644-8230,
"Mcgrath, Danielson, Sorrell & Fuller",77,"Mcgrath, Danielson, Sorrell & Fuller",,,2608 West Cary Street,,Richmond,VA,23220,,(804)353-3962,
"Medcomp Usa, Inc, Dba Mti",78,"Medcomp Usa, Inc, Dba Mti",,,Attn Accts Payable,P.O. Box 667140,Pompano Beach,FL,33066,,,
Medrisk,79,Medrisk,,,P.O. Box 14229,,Lexington,KY,40512,(800) 225-9675,(855) 806-9754,
Memic Group,80,Memic Group,,,P.O. Box 6726,,Portland,OR,97228,,(888)835-1724,
